# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.519878103889226,1.0567748451411407,179.99781507229184,0.3,0.0,-0.00645110042333223,180.0,0.0,0.0
 0.03404381301238961,2.5079264881875654,1.0567753009062344,179.99781507229184,0.4021314390371688,2.9999999999999996,-0.00645110042333223,180.0,-0.16416171936863924,0.0
 0.06084490092481026,2.496071480745935,1.0567766633270221,179.9934153596192,0.4825347027744308,3.0000000000000004,-0.006557692998422163,180.0,-0.1949238140319075,0.0
 0.08360330994541221,2.484312841059361,1.0567789250917643,179.9889792037316,0.5508099298362367,3.000000000000002,-0.006666840842169684,180.0,-0.22281681023269712,0.0
 0.10367912018218632,2.472650328622871,1.056782078888722,179.98450597573182,0.611037360546559,2.999999999999999,-0.006778627875668973,180.0,-0.2489044899533794,0.0
 0.12180231798261845,2.4610837029314907,1.0567861174061555,179.97999503042698,0.6654069539478554,3.000000000000002,-0.006893138042468004,180.0,-0.2737816394646291,0.0
 0.13841893506781344,2.4496127234802474,1.0567910333323252,179.97544570575903,0.7152568052034404,2.9999999999999982,-0.0070104566276385704,180.0,-0.2978230326122117,0.0
 0.15382534426369432,2.4382371497641673,1.0567968193554917,179.97085732225065,0.7614760327910831,3.000000000000007,-0.007130678337311466,180.0,-0.3212844880351813,1.9730290505811998e-12
 0.16823045878647935,2.4269567412782775,1.0568034681639156,179.96622918240612,0.8046913763594382,3.0,-0.0072538968779204014,180.00000000000003,-0.34435119633842265,-2.096350902634815e-12
 0.18178816489125502,2.415771257517605,1.0568109724458574,179.96156057008935,0.8453644946737652,2.999999999999998,-0.007380213070315134,180.0,-0.3671635226708298,0.0
 0.19461574691417868,2.4046804579771757,1.0568193248895779,179.95685074988646,0.8838472407425362,3.0,-0.007509725529688503,180.0,-0.389831934059384,0.0
 0.20680505989177836,2.3936841021520165,1.0568285181833368,179.95209896643354,0.9204151796753351,2.9999999999999956,-0.007642545782387011,180.0,-0.4124461823871865,0.0
 0.21842966192295724,2.382781949537154,1.0568385450153954,179.94730444370398,0.9552889857688718,3.0,-0.007778783450007153,180.0,-0.4350812324840126,0.0
 0.229549561014371,2.3719737596276156,1.056849398074014,179.9424663843022,0.988648683043113,3.0,-0.007918554598292242,180.0,-0.4578012538835522,2.6649706257967765e-12
 0.2402144851059476,2.3612592919184268,1.056861070047453,179.9375839686805,1.020643455317843,3.00000000000001,-0.008061983415437826,180.00000000000003,-0.48066239122648186,-2.772385565797241e-12
 0.2504662010941712,2.3506383059046154,1.0568735536239733,179.93265635435944,1.0513986032825138,2.999999999999992,-0.008209193963581957,180.0,-0.5037147517561446,0.0
 0.260340200711577,2.3401105610812074,1.0568868414918353,179.9276826750933,1.081020602134731,3.0,-0.008360317373229731,180.0,-0.5270038628370214,0.0
 0.2698669526709537,2.32967581694323,1.056900926339299,179.92266204001044,1.1096008580128611,3.0,-0.008515495040099401,180.0,-0.5505717703451957,0.0
 0.2790728502292667,2.319333832985709,1.0569158008546258,179.91759353269413,1.1372185506878003,3.000000000000012,-0.008674865855793154,180.0,-0.5744578753618298,-3.190550341798649e-12
 0.28798094017790593,2.3090843687036724,1.0569314577260756,179.9124762102687,1.1639428205337181,3.0000000000000124,-0.008838583833022717,179.99999999999997,-0.598699599330793,3.2931509126395646e-12
 0.2966114919456119,2.298927183592146,1.056947889641909,179.90730910238338,1.1898344758368362,3.000000000000013,-0.009006802341967575,180.0,-0.6233329041038526,0.0
 0.30498244773209904,2.2888620371461563,1.0569650892903868,179.90209121020285,1.2149473431962976,3.0000000000000067,-0.009179687604964229,180.0,-0.6483927227641665,0.0
 0.3131097827562226,2.2788886888607305,1.0569830493597694,179.89682150531775,1.2393293482686683,3.0,-0.009357408626470073,180.0,-0.6739133103986944,0.0
 0.3210077966512914,2.269006898230895,1.0570017625383172,179.89149892862815,1.2630233899538748,3.0,-0.00954014647873695,180.0,-0.6999285443817693,3.699994356595827e-12
 0.32868935145683803,2.259216424751677,1.0570212215142911,179.88612238915454,1.2860680543705147,3.0000000000000218,-0.009728085563621348,180.00000000000003,-0.726472177103049,-3.801362582480922e-12
 0.3361660677167889,2.2495170279181025,1.0570414189759512,179.8806907628156,1.3084982031503676,3.000000000000022,-0.009921423080917962,180.0,-0.7535780625586809,-3.90278379741633e-12
 0.343448487370478,2.2399084672251983,1.0570623476115582,179.8752028911222,1.3303454621114348,2.9999999999999925,-0.010120363304460048,179.99999999999997,-0.7812803511932987,0.0
 0.35054621006998904,2.2303905021679915,1.0570840001093724,179.86965757983887,1.3516386302099679,3.0,-0.010325121048846302,179.99999999999997,-0.8096136735689603,8.212233160684916e-12
 0.35746800804486134,2.2209628922415083,1.057106369157655,179.86405359755273,1.3724040241345847,2.999999999999992,-0.010535918935953379,180.00000000000003,-0.8386133022347121,-4.208182585083553e-12
 0.36422192350735777,2.211625396940776,1.057129447444666,179.8583896742037,1.392665770522074,2.9999999999999916,-0.010752994170168353,180.0,-0.8683153120821788,0.0
 0.37081535174104446,2.2023777757608207,1.057153227658666,179.85266449950927,1.4124460552231342,3.000000000000017,-0.010976592686286266,180.0,-0.8987567247472434,0.0
 0.37725511236744397,2.1932197881966693,1.0571777024879154,179.84687672134055,1.4317653371023327,3.0,-0.011206972808870987,180.0,-0.9299756540239459,0.0
